0,65,28,3.142578125,2.033203125,1.889648438,9.55859375,3.537109375,3.125,16,16,43,43,0.111028991,0.125,0.125,,394.1
1,19,1,3.333984375,2.171875,1.909179688,10.26367188,3.931640625,3.197265625,17,16,39,39,0.112452334,0.142857143,0.142857143,,0.125
2,17,0,4.212890625,2.641601563,2.030273438,13.95703125,5.34765625,3.560546875,22,18,39,39,0.118250868,0.142857143,0.142857143,,0.333333333
3,17,2,5.137695313,3.163085938,2.337890625,17.90429688,6.79296875,4.541015625,29,21,37,37,0.124405149,0.166666667,0.166666667,,0.17394958
4,11,1,5.504882813,2.8359375,3.155273438,18.83496094,5.66796875,7.615234375,32,23,37,37,0.12870516,0.166666667,0.166666667,,
5,14,3,6.068359375,2.07421875,4.850585938,21.42480469,3.27734375,13.88476563,38,26,53,37,0.137192728,0.166666667,0.166666667,,
6,18,2,6.20703125,1.82421875,5.2109375,22.12109375,2.68359375,14.95703125,39,28,37,37,0.142060779,0.166666667,0.166666667,,
7,4,2,6.139648438,1.50390625,5.288085938,21.93554688,2.078125,14.87695313,38,29,37,37,0.151281967,0.2,0.2,,
8,5,2,6.123046875,1.235351563,5.390625,21.79394531,1.546875,14.87304688,38,30,37,37,0.157430788,0.2,0.2,,
9,5,2,6.107421875,1.233398438,5.416015625,21.6796875,1.564453125,14.84375,38,31,37,37,0.157679967,0.2,0.2,,
10,4,2,6.034179688,1.202148438,5.401367188,21.58105469,1.49609375,14.88671875,37,31,37,37,0.159592789,0.2,0.2,,
11,3,3,5.908203125,1.208984375,5.38671875,21.625,1.4921875,14.96484375,38,32,37,37,0.164913117,0.2,0.2,,
12,3,3,5.5078125,1.092773438,5.18359375,21.10058594,1.21875,14.96484375,37,32,37,37,0.17624554,0.2,0.2,,
13,4,2,5.376953125,1.041992188,5.119140625,21.06835938,1.11328125,14.9453125,37,32,37,37,0.182262215,0.2,0.2,,
14,5,2,5.37890625,1.0546875,5.112304688,21.01074219,1.12890625,14.93359375,37,33,37,37,0.180871388,0.2,0.2,,
15,3,2,5.393554688,1.05078125,5.153320313,21.20703125,1.119140625,14.9296875,37,33,37,37,0.18253697,0.2,0.2,,
16,4,2,5.423828125,1.048828125,5.157226563,21.28710938,1.11328125,14.93945313,37,33,37,37,0.182216487,0.2,0.2,,
17,3,3,5.46484375,1.056640625,5.168945313,21.44726563,1.134765625,14.9296875,37,33,37,37,0.182622225,0.2,0.2,,
18,3,2,5.483398438,1.109375,5.190429688,21.53320313,1.236328125,14.9453125,37,34,37,37,0.184096757,0.2,0.2,,
19,3,3,5.471679688,1.133789063,5.181640625,21.59277344,1.3046875,14.87695313,37,34,37,37,0.182588123,0.2,0.2,,
20,4,3,5.5078125,1.13671875,5.23828125,21.88769531,1.314453125,14.953125,38,34,37,37,0.182958597,0.2,0.2,,
21,4,2,5.540039063,1.124023438,5.232421875,21.92675781,1.279296875,14.92578125,38,34,39,39,0.182528444,0.25,0.25,,
22,3,3,5.569335938,1.1328125,5.23828125,21.99414063,1.314453125,14.94140625,38,34,39,39,0.182521856,0.25,0.25,,
23,4,2,5.546875,1.170898438,5.239257813,21.92773438,1.375,14.91015625,38,34,39,39,0.184454443,0.25,0.25,,
24,3,3,5.545898438,1.30859375,5.216796875,22.10253906,1.638671875,14.87304688,38,35,39,39,0.187989444,0.25,0.25,,
25,4,1,5.401367188,1.635742188,5.182617188,21.88085938,2.2890625,14.9296875,39,35,39,39,0.203712488,0.25,0.25,,
26,3,2,5.268554688,1.98046875,5.092773438,21.515625,2.9765625,14.87304688,39,35,39,39,0.215676153,0.25,0.25,,
27,2,3,5.2734375,2.016601563,5.083007813,21.5,3.05859375,14.86328125,39,35,39,39,0.220393105,0.25,0.25,,
28,3,1,5.307617188,1.995117188,5.133789063,21.54882813,2.9921875,14.91796875,39,35,39,39,0.220069134,0.25,0.25,,
29,3,2,5.306640625,1.993164063,5.15234375,21.40039063,2.9921875,14.921875,39,35,39,39,0.220135014,0.25,0.25,,
30,3,2,5.311523438,2.002929688,5.146484375,21.38378906,3.013671875,14.85742188,39,35,37,39,0.219483197,0.25,0.25,,
31,3,3,5.317382813,2.002929688,5.159179688,21.37207031,3.015625,14.87695313,39,36,39,39,0.221672712,0.25,0.25,,
32,3,2,5.369140625,2.008789063,5.163085938,21.59667969,3.03125,14.91796875,39,36,39,39,0.220134239,0.25,0.25,,
33,3,2,5.408203125,2.009765625,5.159179688,21.67382813,3.037109375,14.88085938,39,36,39,39,0.220535714,0.25,0.25,,
34,2,3,5.459960938,2.020507813,5.19921875,21.96191406,3.068359375,14.8828125,39,36,39,39,0.221541729,0.25,0.25,,
35,3,3,5.547851563,2.008789063,5.21875,22.20605469,3.03125,14.8671875,40,36,39,39,0.21949676,0.25,0.25,,
36,3,2,5.616210938,2.004882813,5.256835938,22.47265625,3.029296875,14.96875,40,36,39,39,0.226873682,0.25,0.25,,
37,3,3,5.666992188,1.995117188,5.266601563,22.49804688,2.998046875,14.9296875,40,36,37,39,0.222685314,0.25,0.25,,
38,3,2,5.733398438,2.00390625,5.28515625,23.01367188,3.02734375,14.88085938,40,36,39,39,0.222402844,0.25,0.25,,
39,3,2,5.755859375,1.997070313,5.2734375,22.97753906,3.01171875,14.93554688,40,36,39,39,0.221557652,0.25,0.25,,
40,3,2,5.791992188,2.022460938,5.295898438,23.24414063,3.068359375,14.93164063,41,36,39,39,0.222422185,0.25,0.25,,
41,3,3,5.885742188,1.999023438,5.309570313,23.44824219,3.01953125,14.88476563,41,37,59,59,0.223427812,0.333333333,0.333333333,,
